"Hans Rudolf Picard",118479,118497,"PER"
"Jean Rousset",118582,118594,"PER"
"Narcisse romancier",118596,118614,"PER"
"Jacques Rustin",118628,118642,"PER"
"Jean-Paul Sermain",118793,118810,"PER"
"Jürgen Siess",118917,118929,"PER"
"Diderot",119031,119038,"PER"
"Restif",119040,119046,"PER"
"Lespinasse",119048,119058,"PER"
"Jürgen von Stackeiberg",119076,119098,"PER"
"Philip Stewart",119310,119324,"PER"
"Le Masque et la parole",119326,119348,"PER"
"Philip Stewart",119402,119416,"PER"
"Half-told Tales",119418,119433,"PER"
"Tony Tanner",119497,119508,"PER"
"Pierre Trahard",119558,119572,"PER"
