"start",,,,
"Marcel Raymond",96821,96835,"PER","richtig"
"Bd. III",96837,96844,"PER","falsch"
"Jean-Jacques Rousseau",96964,96985,"PER","richtig"
"Julie ou La Nouvelle Héloise",96987,97016,"PER","teilrichtig"
"Euvres complètes",97029,97046,"PER","falsch"
"Marcel Raymond",97076,97090,"PER","richtig"
"Bd. II",97092,97098,"PER","falsch"
"Jean-Jacques Rousseau",97218,97239,"PER","richtig"
"Julie ou La nouvelle Héloise",97241,97270,"PER","teilrichtig"
"v. René Pomeau",97272,97293,"PER","richtig"
"Jean-Jacques Rousseau",97344,97365,"PER","richtig"
"Euvres complètes",97367,97384,"PER","falsch"
"v. Bernard Gagnebin Marcel Raymond",97386,97426,"PER","teilrichtig"
"Jean-Jacques Rousseau",97464,97485,"PER","richtig"
"Les Rêveries",97487,97500,"PER","falsch"
"Euvres complètes",97536,97553,"PER","falsch"
"Bernard Gagnebin",97564,97580,"PER","richtig"
"Marcel Raymond",97583,97597,"PER","richtig"
"Bd. I",97599,97604,"PER","falsch"
"Caroline Neubaur",97817,97833,"PER","richtig"
"Karin Kersten",97838,97851,"PER","richtig"
"Frank Baasner",98122,98135,"PER","richtig"
"Gaston Bachelard",98287,98303,"PER","richtig"
"Roland Barthes",98521,98535,"PER","richtig"
"Elisabeth Bronfen",98583,98600,"PER","richtig"
"Nur über",98602,98611,"PER","falsch"
"Weiblichkeit",98630,98642,"PER","falsch"
"Jacques Derida",98769,98783,"PER","richtig"
"De la grammatologie",98785,98804,"PER","falsch"
"Klaus Dirscherl",98818,98833,"PER","richtig"
"Marc Eigeldinger",98878,98894,"PER","richtig"
"Jean-Jacques Rousseau",98896,98917,"PER","richtig"
"Michel Foucault",98987,99002,"PER","richtig"
"Sigmund Freud",99078,99091,"PER","richtig"
"Sigmund Freud Studienausgabe",99172,99200,"PER","teilrichtig"
"v. Alcxander Mitscherlich",99202,99233,"PER","teilrichtig"
"Bd. VIII",99257,99265,"PER","falsch"
"Roland Galle",99400,99412,"PER","richtig"
"Rousseaus Autobiographie",99452,99476,"PER","teilrichtig"
"Henri Gouhier",99610,99623,"PER","richtig"
"Nicola Graap",99687,99699,"PER","richtig"
"Jean-Jacques Rousscaus",99784,99806,"PER","richtig"
"Nouvelle Héloise",99819,99836,"PER","teilrichtig"
,99844,99852,"PER","falsch"
"Dieter Groh",99907,99918,"PER","richtig"
"Joseph Jurt",100228,100239,"PER","richtig"
"“Rousseau",100241,100250,"PER","richtig"
"Begründer ciner",100252,100268,"PER","falsch"
"Nestvold",100295,100325,"PER","falsch"
"Naturzustands",100446,100459,"PER","falsch"
"Rousseau",100466,100474,"PER","richtig"
"Claude",100561,100567,"PER","richtig"
"Marianne Kesting",100584,100600,"PER","richtig"
"Manfred Smuda",100706,100719,"PER","richtig"
"Dietmar Rieger",100866,100880,"PER","richtig"
"Kosellek",100932,100940,"PER","richtig"
"Jules Laforgue",100977,100991,"PER","richtig"
