9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"LAFITE, Marie-Elisabeth Bouée, madame de";"Eugénie et ses élèves ou lettres et dialogues à l’usage des jeunes personnes, par madame de La Fite, auteur des Entretiens, drames & contes moraux à l’usage des enfans";;
"LAFITE, Marie-Elisabeth Bouée, madame de";"Entretiens, drames et contes moraux à l’usage des enfans, par madame de La Fite";;
"LAFONT, F.-Gaspard";"Nérine, histoire anglaise par Lafont";;
"LAFONTAINE, August Heinrich Julius";"Claire Duplessis et Clairant ou histoire de deux amans émigrés, traducteur Charles Frédéric Cramer, imprimeur-libraire allemand";;
"LAFONTAINE, August Heinrich Julius";"Saint-Julien ou mémoire d’un père de famille, imité de l’allemand d’Auguste";;
"LAFONTAINE. August Heinrich Julius trad.par?";"Romulus, imité de l’allemand d’Auguste Lafontaine par F.J.";;
"LAISSE, madame de";"Recueil d’anecdotes par Mde de Laisse, épouse d’un capitaine de cavalerie au régiment d’Artois";;
"LAISSE, madame de";"Alfred, roi des Anglo-Saxons, par Mr. le baron de Haller, seigneur de Goumoëns-le-Jux, président de la Société royale de Goettingue & de la Société économique de Berne, associé de l’Académie royale des sciences de Paris, &c., Sic., membre du Conseil souverain des deux-cents de la République de Berne, &c., &c., traduit de l’allemand";;
"LAISSE, madame de";"Nouveaux contes moraux par Mde de Laisse, épouse d’un capitaine de cavalerie au régiment d’Artois, dédiés à Me la comtesse d’Artois";;
"LAMBERG, Maximilien, Graf von";"Mes fragments";;
"LAMBERG, Maximilien, Graf von";"Le Canot ou lettres de Marna Blergx par l’auteur du Mémorial d’un mondain";;
"LAMBERT, abbé Claude-François";"Mémoires et avantures de dom Inigo de Pascarilla par l’auteur de la Nouvelle Marie-Anne En Espagne & se trouve à";;
"LANCELIN";"Histoire secrette du prophète des Turcs, traduite de l’arabe";;
"LANGHORNE, John";"Solyman et Almena, traduit de l’anglois par M.D.L.F.";;
"LANGHORNE, John";"Lettres de Théodose et de Constance, traduites de l’anglois";;
"LANTEIRES, Jean";"Les confessions de monsieur Emanuel Figaro, écrites par lui-même";;
"LANTIER, Etienne-François";"Voyages d’An ténor en Grèce et en Asie, avec des notions sur l’Egypte, manuscrit trouvé à Herculanum, traduit par E.-F. Lan lier, avec figures";;
"LANTIER, Étienne-François";"Erminie, poème en trois chants, par M. de Lantier, chevalier de l’Ordre de Saint-Louis, des Académies de Marseille, Florence & Rome";;
"LANTIER, Étienne-François";"Les travaux de monsieur l’abbé Mouche";;
"LATHOM, Francis";"La cloche de minuit, traduit de l’anglais";;
"LAUREAU";"L’Amérique découverte, en six livres";;
"LAUS DE BOISSY, Louis de";"Les veillées de Minerve ou recueil de nouvelles morales";;
"LAUS DE BOISSY, Louis de";"L’infortuné ou mémoires de monsieur de ***";;
"LAUS DE BOISSY, Louis de et";"Mémoires d’un Américain, avec une description de la Prusse et de l’isle de Saint Domingue, par l’auteur des Lettres d’Affi à Zurac & de celles d’un Philosophe sensible";;
"LAVALLEE, Joseph, marquis de";"Bois-Robert Cécile, fille d’Achmet III, empereur des";;
"LAVALLÉE, Joseph, marquis de Bois-Robert";"Le nègre comme il y a peu de blancs, par l’auteur de Cécile, fille d’Achmet III, empereur des Turcs";;
"LAVALLÉE, Joseph, marquis de Bois-Robert";"Les dangers de l’intrigue, par J. de Lavallée, auteur du Nègre comme il y a peu de blancs, de Cécile fille d’Achmet III, etc., etc. etc.";;
"LAWRENCE, Herbert";"Vie et aventures de Sens commun, histoire allégorique traduite de l’anglais sur la seconde édition";;
"LE BLANC DE GUILLET, Antoine Blanc, dit";"Mémoires du comte de Guine par M***";;
"LE BRETON";"Roman historique, philosophique et politique de Brylto-phend, écrit par lui-même currente calamo pour la première fois en 1 788, r’écrit de mémoire l’année suivante en quinze soirées. Suivi de trois Relations ..., traduit de l’anglois par Bryltophend";;
"LE CAMUS DE MEZIERES, Nicolas";"Aabba ou le triomphe de l’innocence Éleutéropolis & se trouve à";;
"LE CAMUS, Antoine";"Abdeker ou l’art de conserver la beauté";;
"LE CANUT Raoul, premier duc de";"Normandie ou la conquête de la Neustrie par les Scandinaves";;
"LE FERON, chevalier";"Le flageolet, conte moral, par M. le chevalier le Féron";;
"LE FUEL DE MER1COURT";"L’amour vengé, conte allégorique au sujet du mariage de monsieur le comte d’Artois";;
"LE MONNIER, abbé Guillaume-Antoine";"Fêtes des bonnes-gens de Canon et des Rosières de Briquebec";;
"Le nouveau Don Quichotte, imité de l’allemand de M. Wieland,";;;
"LE PREVOST D’EXMES, François";"Le temple de l’amour et de l’hymen, accompagné de morceaux de littérature traduits de l’anglois ct de l’italien par M. Le Prévost d’Exmes";;
"LE TOURNEUR, Pierre-Prime-Félicien";"Le jardin anglois ou variétés tant originales que traduites, par feu M. Le Tourneur, précédées d’une notice sur sa vie & ses ouvrages, avec son portrait dessiné d’après nature par M. Pujos";;
"LE VACHER DE CHARNOIS, Jean-Charles";"Nouvelles, par M. de Chamois";;
"LE VACHER DE CHARNOIS, Jean-Charles";"Histoire de Sophie et d’Ursule ou lettres extraites d’un portefeuille, mises en ordre & publiées par M. de Chamois";;
"LE VACHER DE LA FEUTRIE, madame S.-M.";"Nella ou la Carinthienne, par madame S.M.L.";;
"Le voyage de Galeg dans la ville de Yenef, extrait des mémoires";;;
"LEBASTIER, C. -B.";"Dorbeuil et Céliane de Valran, leurs amours et leurs malheurs pendant la tyrannie de Robespierre";;
"LEBRET, Alexis-Jean";"La nouvelle lune ou histoire de Poequilon par monsieur le B***";;
"LEBRUN-TOSSA, Jean-Antoine Brun, dit Alexandrine de";"Bauny ou l’innocence et la scélératesse, anecdote historique";;
"LECH";"Mémoires du chevalier Berville ou les deux amis retirés du monde";;
"LECLERC, J.-P.-M.";"La constance inimitable ou les amours de Lindor et d’Ana-créonte, conte moral imité de M. Marmontel par Mr J.P.M. Cl***";;
"LECLERC, Jean-Baptiste";"Mes promenades champêtres ou poésies pastorales, par J.B. Leclerc";;
"LECLERC, Louis-Claude";"Tobie, poème en quatre chants, dédié à N.S.P. le pape Clément XIV, par M. Le Clerc";;
"LECLERC, Michel-Théodore";"Le château de Duncam ou l’homme invisible, par Michel-Théodore L. C.....";;
"LECOINTE-MARSILLAC";"Le more-lack ou essai sur les moyens les plus doux & les plus équitables d’abolir la traite & l’esclavage des nègres d’Afrique, en conservant aux colonies tous les avantages d’une population agréable";;
"LECOMTE";"Les sacrifices de l’amour ou lettres de la vicomtesse de Senanges et du chevalier de Versenay";;
"LECORVAISIER, Pierre-Jean";"n L’esclavage rompu ou la société des francs-péteurs";;
"LEE, Harriet";"Herbert ou adieu richesses ou les mariages";;
"LEE, Harriet";"Les deux Emilies ou les aventures du duc et de la duchesse d’Aberden, traduit de l’anglais d’Henriette Lee, par Math. Christophe";;
"LEE, Margaret";"Clara Lennox ou la veuve infortunée, traduit de l’anglois par le général Lasalle";;
"LEE, Sophia";"Le souterrain ou Matilde, par miss Sophie Lée, traduit de l’anglois sur la deuxième édition";;
"LEFEBVRE DE BEAUVRAY, Claude-Rigobert";"Histoire de miss Honora ou le vice dupe de lui-même";;
"LEFEBVRE, Philippe";"Histoire de Ménocrate et de Zénothémis";;
"LEGOUX DE GERLAN, Bénigne";"Histoire de Laïs, courtisane grecque, avec des anecdotes sur quelques philosophes de son tems";;
"LEGRAND D’AUSSY, le père Pierre-Jean-Baptiste";"Contes dévots, fables et romans anciens pour servir de suite aux fabliaux, par M. Le Grand";;
"LEGRAND D’AUSSY, le père Pierre-Jean-Baptiste";"Fabliaux ou contes du Xlle et du XIIle siècle traduits ou extraits d’après divers manuscrits du temps, avec des notes historiques & critiques & les imitations qui ont été faites de ces contes depuis leur origine jusqu’à nos jours";;
"LEGROING-LA-MAISONNEUVE, mademoiselle F.-T.-A.";"Zénobie, reine d’Arménie";;
"LEIGH, sir Samuel Egerton";"Munster, par sir Samuel Egerton Leigh, traduit de l’anglais par L.A. Marquand";;
"LEJEUNE, Augustin";"Le jeune sauvage dans la société, par Augustin Lejeune";;
"LEMAIRE";"Le Gil-Blas françois ou aventures de Henri Lançon, écrites par lui-même";;
"LEMAIRE, Henri";"Mélanie et Félicité ou la différence des caractères, par H. Lemaire, auteur de Virginie Bellemont";;
"LEMAIRE, Henri";"La pauvre rentière";;
"LEMAIRE, Henri";"Le conscrit ou les billets de logement, par H. Lemaire, auteur de la Pauvre rentière";;
"LEMAIRE, Henri";"Rosine ou le pas dangereux, par H. Lemaire, auteur de Virginie Bellemont";;
"LEMAIRE, Henri";"Virginie Bellemont, par H. Lemaire";;
"LEMAIRE, Henri";"Hortense et Sélicourt, roman français";;
"LEMIERRE D’ARGY, Auguste-Jacques";"Les heureux modèles ou l’école du bonheur, roman traduit de l’anglois";;
"LENNOX, Charlotte Ramsay, Mrs";;;
"LENNOX, Charlotte Ramsay, Mrs";"Donquichotte femelle, traduction libre de l’anglois";;
"LENNOX, Charlotte Ramsay, Mrs";"Histoire de miss Henriette Stuard, écrite.par elle-même et traduite de l’anglois par le traducteur de l’Etourdie";;
"LENNOX, Charlotte Ramsay, Mrs.";"Henriette, traduit de l’anglois, par M.....";;
"LÉONARD, Nicolas-Germain";"La nouvelle Clémentine ou lettres de Henriette de Berville, par M. Léonard";;
"LÉONARD, Nicolas-Germain";"Œuvres de M. Léonard, quatrième édition";;
"LÉONARD, Nicolas-Germain";"Lettres de deux amans habitans de Lyon, publiées par M. Léonard";;
"LÉONARD, Nicolas-Germain";"Adélaïde ou la force du sang, anecdote";;
"LÉONARD, Nicolas-Germain";"Œuvres de Léonard, recueillies et publiées par Vincent Campenon";;
"LEPREUX, J.-O.";"Julienne ou le caveau dans la foret";;
"LEPRINCE DE BEAUMONT, madame Marie";"Le philosophe sans prétention ou l’homme rare, ouvrage physique, chymique, politique et moral, dédié aux savans par M. D.L.F.";;
"LEPRINCE DE BEAUMONT, madame Marie";"Lettres curieuses, instructives & amusantes ou correspondance historique, galante, critique, morale, philosophique, littéraire &c. entre une dame de Paris et une dame de province, contenant un grand nombre d’histoires, anecdotes & aventures aussi vraies que curieuses et intéressantes,...";;
"LEPRINCE DE BEAUMONT, madame Marie";"Nouveaux contes moraux par Mde. Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Le magasin des pauvres, artisans, domestiques et gens de la campagne,, par madame Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Les Américaines ou la preuve de la religion chrétienne par les lumières naturelles, par Mde Le Prince de Beaumont, première édition, faite au dépens de l’auteur";;
"LEPRINCE DE BEAUMONT, madame Marie";"Contes moraux par Mde Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Magasin des enfans ou dialogues entre une sage gouvernante et plusieurs de ses élèves de la première distinction, dans lesquels on fait penser, parler, agir les jeunes gens suivant le génie, le tempérament & les inclinations d’un chacun ... par Made Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Civan, roi de Bungo, histoire japonnoise, par madame Le Pnnce de Beaumont, auteur du Magasin françois";;
"LEPRINCE DE BEAUMONT, madame Marie";"Lettres d’Emerance à Lucie par madame Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Magasin des adolescentes ou dialogues entre une sage gouvernante & plusieurs de ses élèves de la première distinction, par madame Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"La nouvelle Clarice, histoire véritable, par madame Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Mémoires de madame la baronne de Batteville ou la veuve parfaite par madame Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie";"Instructions pour les jeunes dames qui entrent dans le monde et se marient, leurs devoirs dans cet état et envers leurs enfans, pour servir de suite au Magasin des adolescentes par M. (sic) Le Prince de Beaumont";;
"LEPRINCE DE BEAUMONT, madame Marie •";"Anecdotes du XlVe siècle, pour servir à l’histoire des femmes illustres de ce temps";;
"LEROUX, Adrien";"Voyage sur les frontières et à Paris";;
"LEROY DE LOZEMBRUNE, François-Claude";"Tableau des mœurs d’un siècle philosophe, histoire de Justine de Saint-Val, par M.F.C.L.R.D.L., avec figures";;
"LEROY DE LOZEMBRUNE, François-Claude";"Théagènes, histoire grecque";;
"LEROY DE LOZEMBRUNE, François-Claude";"Lettres et contes sentimentaux de George Wanderson, publiés par Mr. le Roy de Lozembrune, membre de plusieurs académies & sociétés littéraires";;
"Les étrangers en Suisse ou aventures de Mr. de Tarlo et de ses";;;
"Les masques arrachés ou vies privées de S. Ém. Henri Van-";;;
"LESBROS DE LA VERSANE, Louis";"Caractères des femmes ou aventures du chevalier de Miran";;
"LESBROS DE LA VERSANE, Louis";"Les soirées d’un honnête-homme ou mémoires pour servir à l’histoire du cœur par l’auteur des Caractères des femmes";;
"LESCALOPIER DE NOURAR, Charles-Armand";"Les écueils du sentiment ou le délire et l’imprudence";;
"LESSING, Gotthold Ephraim";"Fables et dissertations sur la nature de la fable traduites de l’allemand de M. Gotthold Ephraim Lessing par M. d’Antelmy";;
"LESUIRE, Robert-Martin";"Le secret d’être heureux ou mémoires d’un philosophe qui cherche le bonheur, par l’auteur de VAvanturier français";;
"LESUIRE, Robert-Martin";"Les amants françois à Londres ou les délices de l’Angleterre";;
"LESUIRE, Robert-Martin";"L’aventurier françois ou mémoires de Grégoire Merveil";;
"LESUIRE, Robert-Martin";"Seconde suite de l’Aventurier françois, contenant les mémoires de Cataudin, chevalier de Rosamene, fils de Grégoire Merveil";;
"LESUIRE, Robert-Martin";"Charmansange ou mémoires d’un jeune citoyen faisant l’éducation d’un ci-devant noble, par l’auteur de l’Aventurier";;
"LESUIRE, Robert-Martin";"Les sauvages de l’Europe";;
"LESUIRE, Robert-Martin";"Dernière suite de l’Aventurier françois, contenant les mémoires de Ninette Merviglia, fille de Grégoire Merveil, écrits par elle-même, & traduits de l’italien par son frère Cataudin";;
"LESUIRE, Robert-Martin";"Confessions de Clément Marot, publiées et mises en françois moderne par l’auteur de l’Aventurier françois";;
"LESUIRE, Robert-Martin";"Les noces patriarchales, poëme en prose en cinq chants";;
"LESUIRE, Robert-Martin";"Le crime ou lettres originales, contenant les aventures de César de Perlencour, par l’auteur de VAventurier françois & du Philosophe parvenu";;
"LESUIRE, Robert-Martin";"Confessions de Rabelais, publiées et mises en françois moderne par l’auteur de (Aventurier françois";;
"LESUIRE, Robert-Martin";"Les quatre aveptures, recueillies par Le Suire, professeur de législation à l’École centrale de Moulins ...";;
"LESUIRE, Robert-Martin";"Le philosophe parvenu ou lettres et pièces originales contenant les aventures d’Eugène Sans-Pair, par l’auteur de VAventurier françois";;
"LESUIRE, Robert-Martin";"Le repentir ou suite des lettres originales contenant les aventures de César de Perlencour, intitulées le Crime, par l’auteur de VAventurier François & du Philosophe parvenu";;
"LESUIRE. Robert-Martin";"Suite de l’Aventurier françois ou mémoires de Grégoire Merveil, marquis d’Erbeuil";;
"Lettres d’un Persan en Angleterre à son ami à Ispahan ou";;;
"lettres de sa famille par M. Framery";;;
"LEVESQUE, Pierre-Charles";"Les rêves d’Aristobule, philosophe grec, suivis d’un abrégé de la vie de Formose, philosophe françois, par M. L....";;
"LEWIS, Matthew Gregory";"Le Jacobin espagnol ou histoire du moine Ambrosio et de la belle Antonia, sa soeur";;
"LEWIS, Matthew Gregory";"Le moine, traduit de l’anglois";;
"LEZAY-MARNEZIA, Charlotte-Antoinette de Bressay, marquise de";"Lettres de Julie à Ovide Rome, Bemabo et";;
"LEZAY-MARNÈZIA, Claude-François-Adrien, marquis de";"L’heureuse famille, conte moral";;
"LICHTWEHR, Magnus Gottfried";"Fables nouvelles, divisées en quatre livres, traduction libre de l’allemand de monsieur Lichtwehr";;
"LIEBAUT";"Les erreurs de l’amour et de la vanité, mémoires de b marquise de Bercaville";;
"LIGNAC.de";"Mémoires de Rigobert Zapata, publiés par M. de Lignac, auteur de (Homme & de la femme considérés physiquement dans l’état du mariage";;
"LINGUET, Simon-Nicolas-Henri";"Voyage au bbirinthe du Jardin du Roi, à Monsieur ***";;
"LIOMIN, L.-A.";"Les deux solitaires des Alpes ou histoire des malheurs du comte et du chevalier de Malmore, par Mr. L***";;
"LIOMIN, L.-A.";"La bergère d’Aranville, par M. Liomin";;
"LO AISEL DE TRÉOGATE, J oseph-Marie n";"Valrose ou les orages de l’amour, par J.M. Laoisel Tréogate (sic), auteur de Dolbreuse, de Lucile et Milcourt, etc. etc.";;
"LO-LOOZ, Robert, chevalier de";"Les militaires au-dela du Gange, par M. de Lo-Looz, chevalier de l’ordre royal & militaire de Saint-Louis";;
"LOAISEL DE TRÉOGATE, Joseph-Marie";"Ainsi finissent les grandes passions ou les dernières amours du chevalier de.....publiées par M. Loaisel de Tréogate";;
"LOAISEL DE TRÉOGATE, Joseph-Marie";"Dolbreuse ou l’homme du siècle ramené à la vérité par le sentiment & par la raison, histoire philosophique, par M. Loaisel de Tréogate";;
"LOAISEL DE TRÉOGATE, Joseph-Marie";"Florello, histoire méridionale, par M. Loaisel de Tréogate, ci-devant gendarme du roi";;
"LOAISEL DE TRÈOGATE, Joseph-Marie";"La comtesse d’Alibre ou le cri du sentiment, anecdote françoise par M. Loaisel de Trèogate";;
"LOAISEL DE TRÈOGATE, Joseph-Marie";"Soirées de mélancolie, par M. L***";;
"LOAISEL DE TRÉOGATE. Joseph-Marie";"Valmore, anecdote françoise, par M. Loaisel de Tréogate, gendarme du roi";;
"LOCRÉ, baron Jean-Guillaume";"Grandes et incomparables aventures de milord Stitt et de Herr Rodomond-Micmak, de quelques autres preux chevaliers, de leurs dames, de leurs écuyers, ensemble des rois pour lesquels ils se sont battus ou fait battre, histoire admirable traduite de l’anglais et du napolitain";;
"LOEN, Johann Michael von";"Desboulmiers Trapue, reine des Topinainboux ou la maîtresse femme, conte pour servir de suite aux contes du même auteur";;
"LOMBARD DE LANGRES, Vincent Lombard, dit";"Les tombeaux, ouvrage philosophique, parC.-G.";;
"LONGCHAMPS, abbé Pierre Charpentier de";"Les aventures d’un jeune-homme pour servir de supplément à l’histoire de l’amour";;
"LONGCHAMPS, abbé Pierre Charpentier de";"Mémoires d’une religieuse écrits par elle-même et recueillis par M. de L...";;
"LONGUS";"Les amours de Daphnis et Chloé, traduction nouvelle";;
"LONGUS";"Les amours pastorales de Daphnis et de Chloé, traduction nouvelle, avec figures nouvellement dessinées sur les peintures de M. le duc d’Orléans, Régent";;
"LOQUET, Marie-Françoise";"Voyage de Sophie et d’Eulalie au palais du vrai bonheur, ouvrage pour servir de guide dans les voies du salut, par une jeune demoiselle";;
"LOQUET, Marie-Françoise";"Entretiens d’Angélique, pour exciter les jeunes personnes du sexe à l’amour & à la pratique de la vertu, par une jeune demoiselle";;
"LOQUET, Marie-Françoise";"Cruzamante ou la sainte-amante de la croix";;
"LOQUET, Marie-Françoise";"Entretiens de Clotilde, pour exciter les jeunes personnes du sexe à la vertu & servir de suite aux Entretiens d’Angélique";;
"LORY DE NARP, madame";"Les victimes de l’amour et de l’inconstance ou lettres de madame de Blainville";;
"LOS RIOS, Charlotte-Marie";"Joujou de nouvelle façon ou contes amusans et instructifs à la portée et à l’usage des plus petits enfans";;
"LOUIS XVIII, le comte de Provence, depuis";"Les mannequins, conte ou histoire comme l’on";;
"LOUVET DE COUVRAY, Jean-Baptiste";"La fin des amours du chevalier de Faublas, par M. Louvet de Couvray";;
"LOUVET DE COUVRAY, Jean-Baptiste";"Emilie de Varmont ou le divorce nécessaire et les amours du curé Sévin, par l’auteur de Faublas";;
"LOUVET DE COUVRAY, Jean-Baptiste";"Une année de la vie du chevalier de Faublas";;
"LOUVET DE COUVRAY, Jean-Baptiste";"Six semaines de la vie du chevalier de Faublas, pour servir de suite à sa première année";;
"LUBERT, mademoiselle de";"Cornichon et Toupette, histoire fée";;
"LUBERT, mademoiselle de";"Léonillc, nouvelle par mademoiselle ***";;
"LUBERT, mademoiselle de";"Mourat et Turquia, histoire africaine, par Mlle de L***";;
"LUCA1N";"La Pharsale, traduite en françois par M. Marmontel de l’Académie françoise";;
"LUCAIN";"La Pharsale de Lucain, traduite par M. Masson, Trésorier de France";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Mémoires de mademoiselle de Baudéon, pour servir à l’histoire de l’année dernière";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"L’insuffisance de la vertu";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Une seule faute ou les mémoires d’une demoiselle de qualité Bruxelles";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Le vicomte de Barjac ou mémoires pour servir à l’histoire de ce siècle";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"La reine de Benni, nouvelle historique";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Les folies philosophiques par un homme retiré du monde";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Mémoires de madame la duchesse de Morsheim ou suite des Mémoires du vicomte de Barjac";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Mémoires de mad. la baronne de St. Lys";;
"LUCHET, Jean-Pierre-Louis de La Roche du Maine, marquis de";"Olinde, par l’auteur des Mémoires du vicomte de Barjac";;
"LUCIEN DE SAMOSATE";"Œuvres de Lucien, traduites du grec d’après une copie vérifiée et revue sur six manuscrits de la Bibliothèque du Roi, avec des notes historiques et littéraires et des remarques critiques sur le texte de cet auteur";;
"LUCIEN DE SAMOSATE";"Œuvres de Lucien, traduction nouvelle par M. l’abbé Massieu";;
"LYTTELTON, George, lord";;;
"m ANDRÉ, Jean-François";"Les fous politiques, No I, par Publius";;
"m ANDRÉ, Jean-François";"Histoire des oeufs de Pâques de M. de Cal..., ex-ministre, viciés par M. de Cer..., ex-Jésuite italien, dans un voyage de Bretagne, par Publius";;
"m ANDRÉ, Jean-François";"La Quasimodo de Surène ou les tout comme";;
"m BODARD DE TEZAY, Nicolas-Marie-Félix";"Les trois ordres en voyage";;
"MACKENZIE, Anna Maria";"Dusseldorf ou le fratricide, par Anna-Maria-Mackenzie, traduit de l’anglais par L. A. Marquand";;
"MACKENZIE, Anna Maria";"La famille napolitaine, par niistriss Ellen d’Exeter, traduit de l’anglais par P.L. Le Bas";;
"MACKENZIE, Anna Maria";"Le fratricide ou les mystères du château de Dusseldorf";;
"MACKENZIE, Anna Maria";"Les joueurs, traduit de l’anglois";;
"MACKENZIE, Henry";"Ouvrage sans titre. Minerve le donnera, par Mde de Laisse, auteur des Nouveaux contes moraux dédiés à la Reine";;
"MACKENZIE, Henry";"L’homme du monde, roman moral traduit de l’anglois par M. de Saint-Ange";;
"MACKENZIE, Henry";"Histoire de Julie de Roubigné par l’auteur de V Homme du monde, &£., traduite de l’anglois d’après la seconde édition";;
"MACKENZIE, Henry";"Lettres de Julie de Roubignéà Pauline de Chermont, traduite de l’anglois de M. Mackenzie, auteur de l’Homme sensible &. de l’Homme du monde";;
"MACKENZIE, Henry";"Œuvres mêlées de madame Le Prince de Beaumont, extraites des journaux & feuilles périodiques qui ont paru en Angleterre pendant le séjour qu’elle y a fait, rassemblées et imprimées pour la première fois en forme de recueil pour servir de suite à ses autres ouvrages Maestricht, J.E. Dufour et Phil.";;
"MACKENZIE. Henry";"Harley ou l’homme sensible, traduit de l’anglais par J.M. Plane, ouvrage faisant suite au Voyage sentimental";;
"MACPHERSON, James";"Ossian, fils de Fingal, barde du troisième siècle, poésies galliques traduites sur l’anglois de M. Macpherson par M. Le Tourneur";;
"MACPHERSON, James";"Crussol mt Florensac, duchesse d’AIGUILLON Carthon, poème traduit de l’anglois";;
"MACPHERSON, James";"Temora, poëme épique en VIII. chants, composé en langue erse ou gallique par Ossian fils de Fingal, traduit d’après l’édition anglaise de Macpherson, par M. le marquis de St. Simon Amsterdam. D.J.";;
"MACPHERSON, James et des AUTEURS INCONNUS et";"Relation singulière ou le courrier des Champs Elisées";;
"MAGNY, Jean-Baptiste-Michel";"Les spectacles nocturnes, ouvrage épisodique";;
"MAGNY, Jean-Baptiste-Michel";"Mémoires de Justine ou les confessions d’une fille du monde qui s’est retirée en province";;
"MAILHOL, Gabriel";"Euménie et Gondamir, histoire françoise du tems où commença la monarchie";;
"MAILHOL, Gabriel";"Le cabriolet";;
"MAILHOL, Gabriel";"La nouvelle du jour ou les feuilles de la Chine";;
"MAILHOL, Gabriel";"Les bonnets ou Talemik et Zinéra, histoire moderne traduite de l’arabe";;
"MAILHOL, Gabriel";"Le philosophe nègre et les Secrets des grecs, ouvrage trop nécessaire";;
"MAILHOL, Gabriel et Edmé MANTELLE";"Anecdotes orientales, ouvrage dédié aux dames";;
"MAILLARD";"Les romans appréciés, ouvrage qui n’est rien moins qu’un roman";;
"MAIMIEUX, Joseph de";"L’heureux jeune homme, histoire orientale";;
"MAIMIEUX, Joseph de";"Charles de Rosenfeld ou l’aveugle inconsolable d’avoir cessé de l’être, histoire allemande, par l’auteur des Mémoires du comte de Saint-Méran";;
"MAIMIEUX, Joseph de";"Le comte de Saint-Méran ou les nouveaux égaremens du cœur et de l’esprit";;
"MAIMIEUX, Joseph de";"L’hypocrite démasqué ou Félix et Colombe";;
"MAIMIEUX, Joseph de";"Suite du Comte de Saint-Méran ou des nouveaux égaremens du coeur et de l’esprit";;
"MAIMIEUX, Joseph de";"Justine d’Arancy ou la vertu calomniée, par l’auteur du Comte de Saint-Méran ou les nouveaux égaremens du coeur et de l’esprit";;
"MAISTRE, comte Xavier de";"Voyage autour de ma chambre par M. le chev. X***";;
"MALARME, Charlotte de Bournon, comtesse de";"Les trois frères ou Lydia Churchill, par Charlotte Bournon-Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Lettres de mylord Walton à sir Hugh Battle son ami, par madame la comtesse de Malarme, de l’Académie des Arcades de Rome";;
"MALARME, Charlotte de Bournon, comtesse de";"Histoire d’Eugénie Bedford ou le mariage cru impossible, par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Les trois sœurs et la folie guérie par l’amour ou les heureux effets de l’amour filial, par Mme Boumon-Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Anna Rose-Tree, histoire angloise par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Miralba, chef de brigands, par Charlotte Boumon-Malarme, académicienne";;
"MALARME, Charlotte de Bournon, comtesse de";"Lettres de miladi Lindsey ou l’épouse pacifique, dédiées à M. le marquis de Genlis, par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Tout est possible à l’amitié ou histoire de milord Love-Rose et de Sophie Mostain, par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Mémoires de Clarence Wclldonc ou le pouvoir de la vertu, histoire angloise, par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de";"Richard Bodley ou la prévoyance malheureuse, par madame de Malarme";;
"MALARME, Charlotte de Bournon, comtesse de Théobald";"Leymour ou la maison murée, par Charlotte Bournon-Malarme, académicienne";;
"MALLET, David Malloch, dit";"Amintor et Théodore, suivi de l’Excursion ou les merveilles de la nature, traduit de l’anglais de David Mallet";;
"MALLET, David Malloch, dit et Christoph Martin WIELAND cmt";"Les jeux de Calliope ou collection de poèmes anglais, italiens, allemands et espagnols en deux, trois et quatre chants";;
"MALLET, Jean-Louis";"Marcoméris ou le beau troubadour, nouvelle de chevalerie, suivie de contes en vers, par J.L. Mallet";;
"MALOUET, Pierre-Victor, baron de";"Voyage et conspiration de deux inconnues, histoire véritable extraite de tous les mémoires authentiques de ce temps-ci";;
"MAMIN";"Aventures d’Ulysse dans l’isle d’Aeaea";;
"Marbet, dame";;;
"MARCHADIER, l’abbé";"L’isle de France ou la nouvelle colonie de Vénus, précédée d’une épître à Mr ***, servant de préface";;
