9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Julie ou l’heureux repentir, anecdote historique par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Lucie et Mélanie ou les deux sœurs généreuses, anecdote historique par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Fanni ou l’heureux repentir, histoire anglaise";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Sidnei et Silli ou la bienfaisance et la reconnaissance, histoire anglaise, suivie d’odes anacréontiques, par l’auteur de Fanni";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Nouvelles historiques par M. d’Arnaud, tonie second, deuxième nouvelle, La duchesse de Châtillon";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Clary ou le retour à la vertu récompensé, histoire anglaise par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Épreuves du sentiment par M. d’Arnaud, tome quatrième, seconde anecdote, D’Almanzi";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Adelson et Salvini, anecdote anglaise par monsieur d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Sélicourt, nouvelle, par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Nouvelles historiques par M. d’Arnaud, tome premier";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Euphémie ou le triomphe de la religion, drame, par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Vie de Dérues, exécuté à Paris en place de Grève, le 6 mai 1777";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Belval ou l’amour égoïste, par d’Amaud, omé de figures, tome premier";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome troisième, quatrième anecdote, Liebman";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Les loisirs utiles. Linville ou les plaisirs de la vertu, par d’Arnaud, avec figures";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Nancy ou les malheurs de l’imprudence et de la jalousie, histoire imitée de l’anglais, par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Délassemens de l’homme sensible ou anecdotes diverses, par M. d’Arnaud";;
"ARNAUD, François-Thomas-Marie de Baculard d’";"Louis d’USSIEUX mnt Roland furieux, poème héroïque de l’Arioste, traduction nouvelle par M. d’Ussieux";;
